	z	xi	dl	da
94	0.094	394.1823445086453	431.23548489245803	360.3129291669518
95	0.095	398.2810386792129	436.1177373537381	363.7269759627515
96	0.096	402.37771164873556	441.0059719670142	367.1329485846127
97	0.097	406.4723627192412	445.90018190300754	370.53086847697466
98	0.098	410.56499119839253	450.800360335835	373.9207570112864
99	0.099	414.65559639948236	455.70650044303113	377.3026354863352
100	0.1	418.7441776414276	460.6185954055704	380.6765251285705
101	0.101	422.83073424876324	465.5366384078883	384.042447092428
102	0.10200000000000001	426.91526555163705	470.46062263790407	387.40042246065065
103	0.10300000000000001	430.99777088580385	475.39054128704163	390.7504722446091
104	0.10400000000000001	435.0782495926195	480.326387550252	394.0926173846191
105	0.105	439.1567010190355	485.26815462603423	397.42687875025837
106	0.106	443.23312451759244	490.21583571645726	400.75327714068027
107	0.107	447.3075194464144	495.16942402718075	404.0718332849272
108	0.108	451.37988516920336	500.12891276747735	407.38256784224126
109	0.109	455.4502210552325	505.09429515025283	410.68550140237375
110	0.11	459.5185264793405	510.065564392068	413.9806544858923
111	0.111	463.5848008219253	515.042713713159	417.2680475444872
112	0.112	467.6490434689382	520.0257363374593	420.5477009612753
113	0.113	471.7112538118771	525.0146254926192	423.8196350511025
114	0.114	475.771431247781	530.009374410028	427.0838700608447
115	0.115	479.8295751792231	535.0099763248338	430.34042616970686
116	0.116	483.8856850143046	540.016424475964	433.5893234895202
117	0.117	487.9397601666484	545.0287121061463	436.83058206503887
118	0.11800000000000001	491.99180005539284	550.0468324619293	440.0642218742333
119	0.11900000000000001	496.0418041051848	555.0707787937017	443.29026282858337
120	0.12	500.0897717461732	560.1005443557141	446.5087247733689
121	0.121	504.13570241400333	565.1361224060977	449.71962748796017
122	0.122	508.17959554980905	570.1775062068857	452.92299068610436
123	0.123	512.2214506002068	575.2246890240323	456.11883401621265
124	0.124	516.261267017289	580.2776641274329	459.307177061645
125	0.125	520.2990442586165	585.3364247909435	462.48803934099243
126	0.126	524.334781787213	590.4009642924018	465.6614403083598
127	0.127	528.3684790715575	595.4712759136454	468.8273993536447
128	0.128	532.4001355855777	600.5473529405317	471.98593580281704
129	0.129	536.4297508086426	605.6291886629574	475.1370689181953
130	0.13	540.457324225556	610.7167763748782	478.2808178987222
131	0.131	544.4828553265501	615.8101093743281	481.4172018802388
132	0.132	548.5063436072775	620.9091809634382	484.54623993575746
133	0.133	552.527788568804	626.013984448455	487.6679510757317
134	0.134	556.5471897176031	631.1245131397619	490.78235424832735
135	0.135	560.5645465655467	636.2407603518956	493.88946833968873
136	0.136	564.5798586298998	641.3627194035663	496.98931217420756
137	0.137	568.5931254333119	646.4903836176757	500.0819045147862
138	0.138	572.604346503811	651.6237463213369	503.1672640631029
139	0.139	576.6135213747949	656.7628008458914	506.24540945987263
140	0.14	580.620649585025	661.9075405269286	509.3163592851096
141	0.14100000000000001	584.6257306786185	667.0579587043038	512.380132058386
142	0.14200000000000002	588.6287642050414	672.2140487221573	515.4367462390906
143	0.14300000000000002	592.6297497190999	677.3758039289312	518.486220226684
144	0.14400000000000002	596.6286867809342	682.5432176773888	521.5285723609564
145	0.145	600.6255749560106	687.7162833246322	524.56382092228
146	0.146	604.6204138151135	692.89499423212	527.5919841318618
147	0.147	608.6132029343385	698.0793437656862	530.6130801519952
148	0.148	612.6039418950843	703.2693252955567	533.6271270863105
149	0.149	616.5926302840447	708.4649321963674	536.6341429800215
150	0.15	620.579267693202	713.6661578471823	539.6341458201757
151	0.151	624.5638537198184	718.872995631511	542.6271535358978
152	0.152	628.5463879664286	724.0854389373256	545.613183998636
