 GIN  Name xx      CAN    cz     e sigma   e  dsigma
752  COMA 240    90   6761   24   286   24     99
753  COMA 239    90   6266   22   196   14     99
754  COMA 194    90   7963   36   276   45     99
755  COMA 159    90   6811   15   179    9     18
756  COMA 133    90   4829   15   208   11     12
758  COMA 31     90   7376   33   204   36     99
759  COMA 49     90   7853   24   293   18     99
761  COMA 103    90   4752   16   205   17     99
762  COMA 106    90   5132   21   151   14     99
763  COMA 107    90   6499   21   133   20     99
764  COMA 118    90   7497   21   170   11     99
765  COMA 129    90   7199   21   250   20     21
766  COMA 134    90   7021   21   141   13     99
767  COMA 135    90   8312   14   117   15      2
768  COMA 136    90   5706   24   181   18     99
769  COMA 148    90   6451   20   356   20     11
770  COMA 160    90   7673   20   148   10     99
771  COMA 172    90   5734   34   171   48     99
772  COMA 217    90   6713   30   200   41     99
773  N3379       95    908   12   185    7      4
774  N 936       95   1425    9   150    6      2
775  N3115       95    732   20   239   14     99
776  N3377       95    643   18   116   15     99
777  N4365       95   1252   19   236   16     99
778  N4374       91   1028   18   236   13     99
779  N4382       91    719   18   134   11     99
780  N4406       91   -209   20   246   17     99
781  N4472       91    984   18   260   11     99
782  N4473       91   2250   13   164    6     10
783  N4486B      91   1494   21   158   17     99
784  N4494       95   1351   17   145   10     99
785  COMA 130    90   7247   29   236   26     99
786  COMA 153    90   6693   21   149   12     99
787  COMA 124    90   6705   22   204   16     99
788  COMA 125    90   6926   23   186   18     99
789  COMA 143    90   5000   38   219   57     99
790  COMA 168    90   7044   41   244   66     99
791  COMA 151    90   6379   10   152    7      7
792  COMA 150    90   7258   14   112   12      0
794  N 584       95   1854   11   179    6      3
795  N 596       95   1876   11   146    6      9
796  N4697       95   1237   19   164    7     99
797  N5846       95   1724   32   221   47     99
799  N7626       95   3403   10   244    8      8
800  N4486       91   1290   22   321   14     99
