ra  dec  z  Mr mu r50 C ur smass sfr ssfr d4000 w mest tau zm rsf pe ps nuvr flag
170.1525 66.3500   0.114 -20.805  21.626  4.777   2.275   1.491   10.372   0.877  -9.555   1.195 0.028 10.823   7.3299   0.0187  -2.0968   0.020   0.910   2.041      2
170.7657 66.2510   0.114 -20.007  20.730  2.191   2.899   2.470   10.601  -0.444 -11.109   1.808 0.088 10.831   9.3737   0.0301  -8.0494   0.340   0.300   4.613      2
170.4791 66.5938   0.056 -20.303  20.071  2.060   3.065   2.732   10.797  -0.635 -11.484   1.722 0.041 11.084  10.7880   0.0258  -2.4446   1.000   0.000   5.158      4
170.5124 66.7636   0.057 -19.473  20.659  1.841   2.942   2.290   10.201  -0.724 -10.978   1.576 0.141 10.299   6.9805   0.0286  -6.6626   0.450   0.550   2.769      1
170.5760 66.7665   0.056 -18.325  21.224  1.409   2.333   1.492    9.537  -0.109  -9.695   1.157 0.704 10.012   7.1824   0.0179  -1.4328   0.160   0.810   2.496      1
170.1572 66.4286   0.055 -20.573  20.642  3.044   2.342   2.832   10.943  -1.115 -12.126   1.913 0.028 11.049  11.0213   0.0276  -4.2379   0.610   0.390   4.631      3
170.1226 66.4088   0.054 -19.694  20.346  1.772   2.856   2.567   10.609   0.218 -10.463   1.538 0.095 10.749   8.2477   0.0441  -1.0830   0.230   0.730   4.272      3
170.3171 66.3903   0.055 -18.801  20.320  1.160   2.492   1.718    9.800   0.088  -9.759   1.173 0.355 10.083   5.3758   0.0211  -0.3361   0.440   0.450   2.265      1
168.8482 67.7470   0.136 -21.227  21.083  4.338   2.551   2.642   11.196   0.087 -11.179   1.688 0.019 11.514   9.5878   0.0321  -1.6784   0.730   0.220   4.486      4
173.0021 67.9165   0.054 -19.257  21.830  2.873   2.443   2.541   10.254  -0.695 -10.978   1.462 0.180 10.327   7.1702   0.0141  -1.8718   0.140   0.770   4.253      4
172.9159 67.6955   0.053 -19.084  20.651  1.543   3.131   2.648   10.234  -0.879 -11.169   1.568 0.219 10.406   6.2518   0.0253  -0.8834   0.640   0.220   4.259      3
172.9775 67.8886   0.054 -18.718  22.231  2.697   2.522   2.444   10.292  -0.495 -10.852   1.533 0.354 10.470   7.3523   0.0077  -3.2594   0.010   0.990   3.800      2
172.7842 67.9024   0.054 -18.463  21.064  1.401   2.512   1.732    9.691  -0.438 -10.176   1.255 0.551  9.806   4.3746   0.0141  -1.8130   0.330   0.540   3.213      1
176.6054 67.6897   0.114 -20.430  20.404  2.289   2.897   2.501   10.735  -0.624 -11.408   1.854 0.050 11.005  10.2127   0.0245  -2.4692   0.160   0.800   5.618     -1
175.6210 67.4828   0.113 -20.480  20.908  2.961   2.581   2.405   10.830   0.400 -10.483   1.527 0.045 11.182  10.2230   0.0260  -2.8470   0.230   0.690   3.365      3
178.2722 67.8977   0.117 -22.538  20.741  7.012   3.108   3.048   11.767  -0.594 -12.416   1.967 0.003 11.815  11.4611   0.0296  -4.9610   0.950   0.020   6.323     -1
179.3549 68.0281   0.119 -21.497  21.523  6.206   2.364   3.070   11.365  -0.879 -12.315   2.019 0.012 11.476  11.3841   0.0262  -4.6465   0.070   0.880   4.614     -1
179.5907 68.0039   0.116 -21.006  19.788  2.239   3.021   3.019   11.109  -0.912 -12.087   2.096 0.023 11.392  11.4651   0.0250  -5.0308   0.800   0.000   4.757     -1
178.9380 68.0670   0.063 -19.981  21.269  3.044   2.078   1.826   10.236   0.135 -10.158   1.355 0.072 10.660   7.6684   0.0446  -0.9742   0.170   0.740   2.836      1
178.9933 67.8822   0.063 -19.613  21.769  3.235   2.430   1.799   10.035  -0.026 -10.114   1.279 0.120 10.332   4.6534   0.0243  -0.6893   0.050   0.940   2.697      1
179.0879 67.9920   0.063 -19.271  21.032  1.970   2.049   1.722    9.941  -0.055 -10.048   1.280 0.192 10.109   6.1587   0.0103  -4.0293   0.180   0.680   2.573      1
178.9364 67.9606   0.062 -19.059  20.564  1.440   2.440   2.345   10.138   0.326  -9.868   1.469 0.240 10.336   1.5587   0.0419  -0.0299   0.600   0.360   4.094      3
178.7514 67.8307   0.061 -18.789  21.964  2.431   1.929   1.563    9.644  -0.233  -9.932   1.191 0.379 10.009   6.6924   0.0115  -2.6109   0.190   0.420   2.514      2
178.5780 67.8630   0.061 -18.596  20.966  1.403   2.872   1.875    9.997  -0.185 -10.228   1.289 0.461 10.210   4.5730   0.0113  -2.3225   0.230   0.650   3.886      1
178.7763 67.6032   0.088 -20.438  20.625  2.664   2.966   2.812   10.827  -1.003 -11.861   1.913 0.041 10.828   8.2196   0.0338  -9.9564   0.820   0.130   5.820     -1
178.7937 67.5956   0.089 -19.663  20.658  1.893   2.804   2.704   10.586  -0.351 -10.997   1.771 0.120 10.923   9.6607   0.0327  -1.7264   0.220   0.720   4.751      2
179.1885 67.8537   0.119 -21.363  20.356  3.412   3.211   3.041   11.292  -0.828 -12.175   1.942 0.014 11.171   4.0130   0.0397  -0.4186   0.630   0.270   5.746     -1
185.4781 66.6778   0.126 -20.630  21.340  3.779   2.304   2.355   10.757   0.333 -10.474   1.738 0.039 11.222  11.1885   0.0260  -8.7056   0.190   0.630   2.513      3
183.1834 66.7054   0.059 -20.106  20.495  2.274   3.159   2.758   10.690  -1.076 -11.834   1.893 0.054 10.809  10.6770   0.0242  -8.8815   0.900   0.070   5.209      3
183.2475 66.6981   0.058 -19.606  19.912  1.385   2.926   2.603   10.416  -1.110 -11.589   1.951 0.109 10.541   9.9605   0.0232  -2.0717   0.680   0.180   5.507     -1
183.2604 66.6581   0.058 -19.035  22.414  3.371   2.046   1.939    9.938  -0.282 -10.268   1.417 0.251 10.295   8.1827   0.0076  -5.3913   0.150   0.850   2.824      1
183.1742 66.6751   0.058 -18.774  21.451  1.915   2.385   1.974    9.957  -0.081 -10.081   1.308 0.354  1.996  99.0000  99.0000  99.0000   0.190   0.710   3.300      2
180.3507 68.5001   0.063 -20.898  20.072  2.675   3.289   2.817   11.020  -0.902 -11.971   1.980 0.019 11.204  10.9276   0.0270 -99.0000   0.970   0.000   5.945      4
180.3719 68.6046   0.063 -19.244  22.336  3.544   2.411   1.899   10.045  -0.078 -10.184   1.285 0.196 10.506   9.6620   0.0304  -3.6519   0.030   0.960   3.027      2
180.2682 68.4838   0.064 -18.658  20.857  1.367   2.528   2.541    9.930  -1.080 -11.071   1.667 0.429 10.137  10.4243   0.0152  -2.7950   0.380   0.510   4.834     -1
181.3493 68.5780   0.105 -19.823  20.963  2.276   2.484   2.720   10.542  -0.815 -11.406   1.598 0.108 10.678  10.2702   0.0252  -2.1025   0.460   0.400   4.550      4
183.3250 68.2259   0.061 -18.939  20.684  1.444   2.627   2.539    9.997  -1.114 -11.166   1.614 0.285  9.963   1.3227   0.0499   0.0000   0.230   0.730   5.542      2
183.3979 68.4391   0.061 -18.508  21.624  1.828   2.745   2.577   10.333  -0.718 -11.100   1.663 0.480 10.816  10.6571   0.0155  -2.6775   0.030   0.970   5.215      5
189.5780 66.7912   0.090 -20.285  20.981  2.915   2.419   1.789   10.441   0.433 -10.061   1.306 0.053 10.660   2.5842   0.0437  -0.1984   0.190   0.810   2.877      1
187.1519 66.3002   0.133 -21.646  20.393  3.851   2.543   1.433   10.817   1.313  -9.563   1.135 0.009 11.143   7.6864   0.0310  -1.2241   0.490   0.320   2.434      1
186.9724 66.3030   0.134 -20.408  21.747  4.060   2.629   2.024   10.510   0.327 -10.232   1.356 0.053 11.052   8.1552   0.0153  -3.7114   0.110   0.820   2.706      1
187.3714 66.5298   0.106 -21.332  20.544  3.748   3.218   2.882   11.176  -0.085 -11.327   1.861 0.013 11.314   8.1937   0.0336  -7.7380   0.910   0.090   5.364      2
187.2778 66.4943   0.106 -20.023  21.121  2.676   2.383   2.613   10.670  -0.736 -11.456   1.753 0.082 10.946   8.6712   0.0299  -1.7194   0.290   0.480   4.443     -1
187.5626 66.5450   0.087 -20.859  20.726  3.396   2.928   2.759   11.086  -0.361 -11.491   1.726 0.023 11.392  10.7739   0.0264  -2.6010   0.700   0.300   4.842      3
187.6034 66.5449   0.088 -19.731  21.114  2.414   2.496   2.594   10.617  -0.171 -10.838   1.523 0.111 10.731   8.9154   0.0282  -2.1870   0.160   0.770   4.082      2
186.0071 66.5713   0.084 -20.272  20.094  1.947   3.153   2.756   10.718  -1.026 -11.798   1.964 0.050 10.976  10.9509   0.0264  -4.0272   0.810   0.060   4.889     -1
186.3890 66.5711   0.085 -19.903  20.941  2.422   2.744   1.563   10.204   0.326  -9.932   1.231 0.089 10.529   5.4071   0.0250  -0.5679   0.160   0.840   2.222      1
186.2451 66.2131   0.086 -19.607  21.044  2.211   2.703   3.740   10.732  -0.701 -11.539   1.657 0.123 10.961  10.1676   0.0184  -8.2499   0.060   0.870   4.850      5
187.7637 67.5931   0.104 -20.165  21.472  3.370   2.436   1.575   10.263   0.305 -10.011   1.230 0.067 10.729   7.8172   0.0288  -0.9421   0.090   0.730   2.157      1
193.0057 66.7266   0.083 -19.797  20.369  1.781   2.861   2.878   10.645  -0.541 -11.243   1.891 0.097 10.939  11.5117   0.0247  -7.2351   0.660   0.300   5.327      2
192.2334 66.3121   0.084 -20.160  19.912  1.702   2.850   2.771   10.666  -1.124 -11.846   1.906 0.059 10.888  10.7648   0.0253  -7.7553   0.710   0.250   4.685     -1
192.1994 66.2177   0.083 -20.070  20.169  1.839   2.919   2.759   10.679  -1.139 -11.848   1.903 0.067 10.890  10.7748   0.0282  -2.4235   0.710   0.200   5.182     -1
191.9463 66.2170   0.082 -19.807  21.147  2.562   2.062   2.008   10.287  -0.025 -10.359   1.451 0.098 10.596   8.5120   0.0208  -1.0331   0.380   0.410   3.123      2
192.0845 66.2434   0.083 -19.579  21.000  2.153   2.620   1.611   10.070   0.318  -9.804   1.286 0.138 10.559   7.6669   0.0334  -1.5032   0.190   0.710   2.157      1
193.1812 67.4468   0.082 -20.030  20.514  2.122   2.992   2.742   10.630  -0.614 -11.290   1.836 0.070 11.071  10.0942   0.0174  -9.9744   1.000   0.000   4.631      2
203.5082 66.7104   0.094 -20.542  21.835  4.831   2.495   2.349   10.905   0.510 -10.436   1.423 0.037 11.492  10.0257   0.0301  -4.4251   0.010   0.990   4.227      2
203.5395 66.6341   0.094 -20.225  22.020  4.540   1.980   1.512   10.216   0.495  -9.778   1.173 0.059 10.613   3.4907   0.0478  -0.3328   0.000   1.000   2.152      1
203.4450 66.6497   0.094 -19.804  21.253  2.629   2.104   1.354    9.934   0.351  -9.636   1.168 0.106 10.127   2.0814   0.0037  -0.0471   0.020   0.800   1.972      1
203.2309 66.7077   0.094 -19.610  21.117  2.257   2.893   2.428   10.541  -0.053 -10.653   1.484 0.135 10.639   3.4878   0.0361  -0.3550   0.030   0.970   3.685      2
202.0678 65.7087   0.067 -19.909  19.713  1.426   2.800   2.781   10.591  -1.108 -11.722   1.962 0.076 10.783  11.1565   0.0273  -4.0968   0.790   0.180   5.829     -1
200.1193 66.1994   0.064 -20.196  21.406  3.570   2.585   1.509   10.592   0.791  -9.831   1.193 0.052 10.667   6.3595   0.0337  -0.6908   0.060   0.940   2.794      1
199.7589 66.4837   0.067 -19.842  19.928  1.529   3.231   2.733   10.527  -1.096 -11.669   1.935 0.083 10.812   9.7819   0.0409  -8.0728   0.850   0.080   4.923     -1
197.6643 65.8318   0.103 -20.236  22.477  5.542   2.388   3.090   10.955   0.201 -10.813   1.693 0.060 11.281   7.7275   0.0213  -1.8197   0.280   0.510   4.624      2
203.3497 66.8112   0.128 -21.352  20.678  3.872   2.902   2.338   11.198   0.596 -10.663   1.551 0.015 11.427   9.6222   0.0186  -3.1236   0.770   0.230   3.047      3
207.7853 66.9250   0.067 -20.552  20.002  2.193   3.276   2.927   10.860  -0.944 -11.838   2.027 0.030 11.087  11.2672   0.0297  -7.8655   0.550   0.190   5.850     -1
207.9881 66.8920   0.066 -20.421  19.752  1.841   3.225   2.984   10.913  -1.211 -12.193   1.978 0.037 11.098  11.0991   0.0272  -7.7224   0.810   0.150   6.147      5
207.9245 67.0571   0.068 -19.440  21.556  2.685   2.244   2.425   10.342  -0.333 -10.721   1.489 0.152 10.582   8.1847   0.0098  -5.4247   0.090   0.720   3.139      2
209.7321 66.5281   0.108 -20.944  21.248  4.323   2.170   2.233   10.841   0.440 -10.448   1.501 0.023 11.330  10.7508   0.0162  -6.9507   0.170   0.760   3.130      5
218.0712 63.3623   0.123 -20.439  21.187  3.246   2.201   2.141   10.649   0.418 -10.275   1.419 0.050 11.224   8.3645   0.0396  -5.7335   0.090   0.850   3.249      1
216.6697 63.1739   0.124 -21.117  20.343  2.998   2.825   2.812   11.141  -0.362 -11.556   1.790 0.021 11.441  10.3402   0.0250  -3.2232   0.640   0.250   4.699     -1
216.3869 63.2195   0.141 -20.869  20.402  2.668   2.495   2.959   11.044  -0.784 -11.877   1.951 0.032 11.313  11.2635   0.0318  -3.4954   0.760   0.160   4.720     -1
216.5163 63.2498   0.139 -20.543  20.961  2.980   2.549   2.455   10.759  -0.118 -10.929   1.673 0.049 10.992  10.3120   0.0318  -2.1234   0.560   0.340   4.205      2
215.5006 63.1121   0.135 -22.163  20.499  5.113   3.133   2.962   11.559  -0.657 -12.280   1.981 0.005 11.730  10.7294   0.0456  -3.2069   0.220   0.600   5.038     -1
215.5782 62.9367   0.139 -21.006  20.572  3.086   3.033   2.835   10.958  -0.882 -11.882   1.851 0.026 11.181   8.0707   0.0329  -5.0557   0.670   0.280   5.613     -1
219.5915 64.3826   0.141 -21.743  20.738  4.654   3.299   2.844   11.338  -0.465 -11.871   1.924 0.009 11.541  11.0647   0.0267  -4.0735   0.890   0.080   6.194     -1
219.7542 64.4746   0.142 -21.447  22.019  7.312   2.781   3.088   11.289  -0.625 -11.969   1.892 0.014 11.401  11.0117   0.0260  -3.8907   0.530   0.430   5.623     -1
219.6361 64.4140   0.143 -20.654  20.680  2.736   2.695   2.749   10.852  -0.772 -11.669   1.830 0.044 10.878   7.4482   0.0230  -1.4686   0.360   0.440   5.393     -1
149.5343  2.4931   0.091 -20.662  20.820  3.214   3.186   2.719   10.809  -0.896 -11.735   1.842 0.031 10.687   7.2125   0.0479 -99.0000   0.830   0.130   6.346     -1
149.4788  2.5218   0.092 -20.423  20.988  3.106   2.790   3.285   11.095  -0.800 -11.952   1.799 0.044 11.174  10.8604   0.0339  -2.5478   0.140   0.760   5.065      5
150.0134  2.0296   0.079 -20.790  20.127  2.537   3.041   2.933   11.002  -1.156 -12.202   1.940 0.024 10.715   3.9213   0.0289  -1.2159   0.820   0.150   5.506     -1
149.9771  2.0049   0.078 -20.294  21.959  4.697   1.846   1.930   10.400   0.129 -10.329   1.415 0.050 10.780   6.1367   0.0293  -0.8879   0.110   0.890   2.844      1
149.8441  3.1909   0.125 -20.693  20.801  3.043   3.390   3.045   10.934  -1.324 -12.281   1.932 0.037 11.128   8.2181   0.0296  -8.3559   0.700   0.210   5.174      3
150.4157  2.4302   0.124 -22.225  20.753  6.032   3.208   2.981   11.594  -0.705 -12.360   1.973 0.004 11.415   9.6775   0.0255  -1.6891   0.960   0.040   6.531     -1
150.4039  2.5089   0.124 -21.615  20.684  4.416   2.588   2.627   11.287   0.397 -10.958   1.719 0.010 11.175   9.9568   0.0295  -1.8380   0.360   0.640   3.381      2
150.1248  3.0452   0.103 -21.418  20.646  4.113   3.147   2.850   11.191  -0.756 -12.036   1.960 0.012 11.115  10.1145   0.0241  -1.9844   0.710   0.040   6.037     -1
150.0657  2.9293   0.103 -20.273  20.607  2.384   2.533   1.738   10.766   0.662 -10.154   1.299 0.057 10.596   7.7464   0.0127  -4.5284   0.690   0.270   3.024      4
150.8926  2.8481   0.104 -20.439  20.525  2.474   2.687   2.713   10.836  -0.724 -11.611   1.777 0.046 11.120  11.3149   0.0249  -3.7222   0.150   0.850   5.462     -1
151.0804  3.0259   0.104 -20.652  21.036  3.451   2.616   2.698   10.867  -0.318 -11.247   1.648 0.034 11.082   9.7989   0.0192  -1.8444   0.220   0.770   3.575      5
151.0798  2.9524   0.104 -20.456  21.178  3.365   2.759   2.736   10.790  -0.768 -11.603   1.954 0.045 11.020  10.6413   0.0236  -7.8678   0.300   0.360   4.762     -1
151.2133  3.0251   0.104 -19.848  22.095  3.884   1.842   2.104   10.295  -0.025 -10.367   1.485 0.103 10.613   8.0287   0.0156  -3.5918   0.180   0.620   3.039     -1
152.6479  2.6196   0.094 -20.175  21.693  3.822   2.622   2.339   10.691  -0.139 -10.885   1.593 0.062 11.054   8.5592   0.0246  -6.3596   0.030   0.920   3.694      2
155.8220  1.9686   0.072 -20.861  20.179  2.717   3.422   2.807   10.958  -0.872 -11.877   1.967 0.021 11.172   8.2084   0.0223 -99.0000   0.750   0.250   5.578      5
154.7846  1.7922   0.119 -20.186  20.967  2.628   2.976   2.455   10.621  -0.401 -11.081   1.643 0.070 10.945   9.1933   0.0208  -1.9910   0.220   0.600   2.669     -1
154.5905  2.0125   0.073 -20.576  20.697  3.022   2.391   2.732   10.937  -0.802 -11.804   1.817 0.031 11.275  10.1936   0.0229  -1.9730   0.500   0.500   5.246      5
155.0002  2.8770   0.073 -20.578  20.437  2.680   3.251   2.865   10.855  -1.174 -12.066   1.925 0.031 11.015  10.8159   0.0274  -3.1421   0.840   0.070   5.404     -1
155.0567  2.8300   0.073 -19.225  21.607  2.463   2.316   1.649    9.961  -0.065 -10.069   1.305 0.212 10.421   6.9143   0.0136  -1.9508   0.250   0.510   2.985      2
155.6935  2.3419   0.075 -20.143  19.961  1.756   3.293   2.712   10.686  -0.790 -11.527   1.923 0.058 10.919  11.3995   0.0323  -4.2614   0.050   0.930   5.332     -1
155.5246  2.3129   0.073 -19.877  21.406  3.035   2.153   2.093   10.454   0.089 -10.405   1.529 0.084 10.896   9.0750   0.0278  -1.3059   0.060   0.940   3.089      2
155.6543  2.3770   0.074 -19.109  21.248  1.977   2.368   2.458   10.165  -0.608 -10.834   1.368 0.239 10.312   2.0906   0.0357   0.0000   0.190   0.740   4.040      2
155.5376  2.1744   0.071 -20.030  21.552  3.495   2.108   2.188   10.526   0.632  -9.934   1.229 0.067 10.991   6.2427   0.0215  -0.8543   0.030   0.970   3.731      1
156.0648  2.8782   0.060 -19.738  20.714  2.122   2.883   2.845   10.574  -1.387 -12.003   1.916 0.091 10.794  10.7147   0.0189  -2.3459   0.130   0.870   5.647      4
156.0832  2.8729   0.059 -19.415  21.166  2.253   2.147   1.930   10.159   0.339  -9.862   1.331 0.152 10.585   6.4973   0.0133  -0.9147   0.780   0.220   2.981      1
156.0500  2.8762   0.060 -18.780  21.910  2.367   2.311   2.948   10.564  -0.620 -11.246   1.812 0.318 10.492   1.1806   0.0498   0.0000   0.130   0.870   5.249      5
158.2080  1.7340   0.102 -20.876  20.985  3.752   2.314   2.579   10.998   0.333 -10.719   1.664 0.025 11.460  10.3818   0.0177  -7.0028   0.820   0.150   3.929      2
156.7227  2.0594   0.063 -20.243  21.005  3.041   3.625   2.861   10.649  -0.722 -11.419   1.918 0.047 10.881  10.4336   0.0307  -3.4788   0.640   0.270   5.982      2
156.7561  2.1181   0.065 -19.810  21.504  3.124   2.437   1.769   10.155   0.116 -10.086   1.319 0.093 10.609   6.4119   0.0123  -4.7386   0.230   0.690   2.469      2
156.3554  1.5137   0.092 -20.751  20.752  3.242   2.656   2.398   10.907   0.656 -10.300   1.494 0.028 10.982   1.1877   0.0473   0.0000   0.190   0.810   3.520      2
156.3242  1.5437   0.092 -20.391  20.963  3.028   2.426   2.564   10.777  -0.170 -11.011   1.566 0.046 11.024  10.7149   0.0255  -2.6198   0.500   0.370   3.830     -1
156.3340  1.6641   0.092 -19.866  20.615  2.023   2.674   2.732   10.583  -0.932 -11.556   1.911 0.094 10.804  10.6387   0.0293  -2.9874   0.510   0.300   5.700     -1
156.3014  1.5830   0.091 -19.798  20.504  1.868   2.605   2.820   10.559  -1.007 -11.615   1.757 0.103 10.728   8.2797   0.0404  -7.0102   0.490   0.410   5.581     -1
156.1337  3.0197   0.072 -20.399  20.381  2.411   3.210   2.831   10.806  -1.033 -11.912   2.014 0.039 10.853   7.4441   0.0367  -1.3475   0.930   0.000   5.283     -1
159.6893  1.7788   0.056 -20.460  20.038  2.181   2.504   1.923   10.623   0.626 -10.043   1.427 0.035 10.893   2.2357   0.0497   0.0000   0.240   0.720   2.896      3
159.6729  1.7245   0.055 -20.084  21.134  3.042   2.450   1.102   10.206   0.710  -9.549   1.071 0.064 10.629   9.5495   0.0080  -3.3508   0.040   0.870   2.167      1
159.6879  1.7502   0.056 -19.229  21.054  1.975   2.442   2.171   10.279  -0.194 -10.527   1.582 0.193 10.407   6.5954   0.0309  -6.0171   0.360   0.610   2.707      3
159.3652  2.0894   0.073 -21.152  21.223  5.017   2.805   2.686   11.086  -0.504 -11.664   1.911 0.015 11.462  11.1620   0.0188  -3.9365   0.070   0.930   3.346      5
159.3571  2.0786   0.074 -19.921  21.123  2.714   2.571   2.546   10.673  -0.013 -10.729   1.479 0.078 11.047   7.3781   0.0389  -2.0988   0.010   0.960   4.544      2
158.4284  2.9870   0.069 -19.356  21.749  2.816   2.301   1.878    9.995  -0.230 -10.280   1.334 0.176 10.540   7.1496   0.0417  -4.7370   0.330   0.600   3.115      1
159.5717  3.1558   0.056 -18.770  21.676  2.129   2.634   2.339    9.924  -0.667 -10.650   1.539 0.361 10.476   9.8770   0.0077  -5.9213   0.040   0.960   3.258      2
159.6397  3.2180   0.057 -18.714  21.566  1.971   2.285   2.395   10.075  -0.604 -10.729   1.378 0.380 10.529  10.6569   0.0153  -5.3813   0.070   0.890   3.628      2
159.6304  3.2612   0.057 -18.374  21.137  1.383   2.705   2.694    9.903  -1.398 -11.336   1.750 0.608  9.974   4.4733   0.0189  -2.3455   0.520   0.200   5.046     -1
159.4172  2.9982   0.075 -19.115  21.667  2.398   2.660   2.172   10.249   0.364  -9.932   1.286 0.245 10.472   2.4871   0.0114   0.0000   0.040   0.960   2.766      1
160.1611  2.7805   0.076 -20.786  20.051  2.456   3.257   2.777   10.929  -0.919 -11.902   1.955 0.024 11.227  10.9314   0.0280  -3.1735   0.800   0.130   5.843     -1
160.0703  2.8197   0.076 -20.675  20.631  3.047   2.558   2.378   10.829  -0.187 -11.059   1.702 0.029 11.175  10.5793   0.0189  -7.3914   0.500   0.460   3.246      4
160.1454  2.8101   0.076 -19.496  21.249  2.357   2.265   2.004   10.190  -0.346 -10.587   1.500 0.146 10.467   9.4052   0.0410  -1.6142   0.190   0.610   3.202      2
160.2683  2.4114   0.080 -20.551  20.961  3.327   2.010   1.312   10.142   0.698  -9.507   1.200 0.037 10.680   5.9647   0.0199  -1.6389   0.040   0.660   1.895      1
161.9748  2.1512   0.062 -19.528  22.003  3.470   2.424   2.056   10.211  -0.009 -10.273   1.390 0.134 10.451   3.0392   0.0079   0.0000   0.620   0.140   2.296      2
161.8858  2.0734   0.062 -19.041  21.275  1.985   2.072   1.870    9.937  -0.023 -10.018   1.278 0.260 10.341   6.8917   0.0278  -1.1261   0.010   0.990   3.047      1
160.8460  1.9686   0.076 -20.682  20.930  3.508   2.742   2.479   10.887   0.073 -10.862   1.622 0.028 11.100   5.6495   0.0417  -0.6457   0.060   0.940   3.925      5
160.8733  1.8638   0.075 -20.185  21.684  3.959   1.888   1.809   10.310   0.178 -10.186   1.365 0.058 10.530   8.0942   0.0173  -4.0263   0.160   0.820   2.430      2
160.9187  2.0162   0.075 -19.549  20.596  1.788   2.499   0.892    9.524   0.496  -9.083   1.083 0.150 10.210  10.6090   0.0078  -2.5343   0.160   0.440   1.280      1
161.2104  3.0503   0.067 -20.974  20.373  3.157   2.578   2.566   11.111   0.171 -11.002   1.743 0.017 11.499  10.3146   0.0275  -1.9930   0.250   0.710   3.705      4
161.2272  2.9882   0.068 -20.064  20.605  2.309   2.757   2.604   10.566  -0.981 -11.587   1.826 0.062 10.761   8.2792   0.0226 -99.0000   0.560   0.380   4.821      5
161.0948  2.4301   0.068 -19.452  20.360  1.554   2.814   2.554   10.382  -0.818 -11.258   1.751 0.143 10.546   9.3411   0.0367  -6.4851   0.110   0.890   6.059      5
161.1805  2.5421   0.067 -18.992  21.894  2.555   2.341   1.736    9.816  -0.063  -9.947   1.266 0.295  9.951   2.9836   0.0064   0.0000   0.190   0.700   2.341      1
161.6613  2.5330   0.072 -21.119  20.597  3.709   2.935   2.716   11.062  -0.771 -11.886   1.890 0.015 11.226  10.9906   0.0259  -2.8184   0.610   0.390   3.397      5
161.6702  2.6076   0.072 -19.239  20.483  1.481   2.724   2.510   10.154  -0.961 -11.186   1.613 0.201 10.170   1.7106   0.0376   0.0000   0.420   0.420   5.390      5
164.3063  2.0422   0.114 -20.059  21.650  3.423   2.084   2.188   10.549   0.092 -10.515   1.491 0.082 10.621   3.3785   0.0436  -0.2288   0.230   0.570   3.089      2
163.7472  1.3864   0.088 -21.320  20.545  3.855   3.121   2.938   11.227  -0.074 -11.347   1.965 0.012 11.516  11.1214   0.0236 -99.0000   0.890   0.110   4.528      2
163.8824  1.3608   0.089 -20.279  20.101  1.944   3.175   2.727   10.704  -0.921 -11.670   1.888 0.052 10.917  10.3162   0.0258  -3.0526   0.880   0.050   5.605     -1
162.2255  2.9836   0.067 -20.604  21.881  5.333   1.986   1.977   10.493   0.347 -10.199   1.454 0.032 11.126   7.5833   0.0425  -2.5736   0.080   0.750   2.274      2
166.0011  1.3269   0.129 -21.482  21.194  5.201   3.261   2.888   11.241  -0.711 -12.007   2.125 0.013 11.521  11.4626   0.0291  -4.9878   0.940   0.000   6.070     -1
166.5070  2.1567   0.106 -20.104  20.956  2.573   2.339   1.747   10.376   0.762  -9.666   1.225 0.072 10.842   7.0987   0.0038  -3.5601   0.190   0.440   2.814      1
165.8831  1.3160   0.071 -19.930  20.394  1.958   2.810   2.592   10.656  -0.647 -11.353   1.795 0.075 11.101  10.5362   0.0271  -2.2620   0.130   0.870   4.517      5
165.8556  1.2659   0.070 -18.972  22.374  3.142   2.203   1.289    9.541  -0.012  -9.621   1.262 0.321  9.842   6.7991   0.0090  -2.3574   0.410   0.390   1.861      1
168.0058  1.6860   0.143 -21.441  21.042  4.644   3.055   2.702   11.206  -0.258 -11.543   1.756 0.015 11.488   8.4499   0.0328  -1.7624   0.770   0.050   5.448     -1
167.9810  1.6751   0.143 -21.002  21.297  4.270   1.943   1.884   10.731   0.797  -9.988   1.390 0.025 10.988   9.9530   0.0181  -2.2048   0.060   0.860   2.302      2
167.9081  2.2547   0.084 -20.312  20.493  2.383   2.779   2.839   10.761  -1.100 -11.915   1.811 0.048 10.980  11.1990   0.0281  -7.6560   0.260   0.640   6.690     -1
166.8531  2.9047   0.057 -21.280  19.936  3.027   2.542   1.872   10.835   0.715 -10.171   1.471 0.012 11.188   9.4653   0.0253  -2.7691   0.090   0.900   2.472      1
166.8817  2.8921   0.057 -20.303  20.434  2.429   3.364   2.709   10.671  -1.017 -11.742   1.906 0.042 10.905  10.8210   0.0268  -8.4620   0.900   0.100   5.691     -1
166.8093  2.9807   0.059 -20.334  20.570  2.618   2.365   1.650   10.255   0.365  -9.949   1.320 0.044 10.678   7.4974   0.0262  -0.8354   0.370   0.560   2.401      1
166.7800  3.0025   0.058 -19.701  19.626  1.266   2.631   2.488   10.466  -0.508 -11.016   1.649 0.096 10.857   9.2418   0.0212  -3.5909   0.570   0.070   3.449      3
166.8979  2.9081   0.057 -19.547  20.100  1.470   2.855   2.469   10.292  -0.974 -11.327   1.760 0.120 10.560  10.6356   0.0225  -2.2542   0.850   0.060   5.699     -1
166.8445  2.9461   0.058 -19.055  20.282  1.273   2.407   1.183    9.585   0.046  -9.588   1.148 0.262 10.046   7.6983   0.0079  -1.5012   0.660   0.180   2.023      1
