ra  dec  z  Mr mu r50 C ur smass sfr ssfr d4000 w mest tau zm rsf pe ps nuvr flag
150.3173  1.0418   0.094 -19.629  21.610  2.862   2.225   2.141   10.341  -0.433 -10.821   1.591 0.132 10.441  10.8287   0.0190  -2.5100   0.300   0.510   4.004      2
151.0545 -1.0612   0.085 -20.214  21.950  4.451   2.241   1.675   10.332   0.527  -9.869   1.275 0.058  1.996  99.0000  99.0000  99.0000   0.320   0.620   2.524      2
151.0486 -1.0230   0.085 -20.023  20.915  2.532   2.825   2.686   10.629  -0.195 -10.874   1.715 0.071 10.876   8.1028   0.0430  -4.0722   0.320   0.620   4.146      2
150.8934  0.0760   0.067 -20.380  20.341  2.368   3.097   2.940   11.000  -0.862 -11.916   1.944 0.039 11.227  10.4289   0.0274  -2.3220   0.100   0.900   6.719      5
150.3970 -0.8078   0.140 -20.746  21.198  3.647   2.999   2.698   10.932  -0.552 -11.551   1.793 0.036 10.920  10.7982   0.0265  -7.7244   0.710   0.170   3.850     -1
150.9143 -0.6232   0.095 -19.832  21.724  3.301   2.335   2.135   10.354  -0.220 -10.627   1.316 0.102 10.637   7.9012   0.0076  -3.0741   0.060   0.940   2.556      2
150.6740  0.8337   0.090 -20.031  21.585  3.425   2.255   2.607   10.584   0.372 -10.269   1.468 0.074 11.082   8.8531   0.0199  -4.9801   0.110   0.830   3.329      2
151.3151  0.6103   0.063 -21.691  20.485  4.667   3.190   2.907   11.375  -0.162 -11.582   1.984 0.006 11.422  11.3501   0.0358  -7.8149   1.000   0.000   5.244      2
151.2490  0.6081   0.062 -18.936  20.615  1.394   2.817   2.887   10.371  -1.167 -11.588   1.746 0.273 10.456   7.8050   0.0236  -3.7284   0.430   0.460   3.911      2
151.2680  0.5910   0.063 -18.834  20.794  1.443   2.657   2.796   10.147  -1.456 -11.640   1.816 0.327 10.235   9.8541   0.0221  -2.3500   0.570   0.240   5.754     -1
153.9355 -0.0511   0.144 -20.885  20.533  2.842   3.885   2.677   11.155  -0.680 -11.876   1.934 0.032  1.996  99.0000  99.0000  99.0000   0.470   0.030   4.071     -1
153.5028 -0.1524   0.099 -20.454  20.540  2.533   2.916   2.881   10.871  -1.010 -11.927   1.845 0.043 10.996   9.9975   0.0276  -4.7664   0.470   0.360   6.881     -1
153.5272 -0.3252   0.097 -20.282  21.213  3.199   2.652   2.646   10.636  -0.386 -11.078   1.763 0.054  1.996  99.0000  99.0000  99.0000   0.200   0.500   4.048      2
153.5322 -0.0510   0.093 -19.832  21.851  3.514   1.848   1.927   10.318   0.158 -10.222   1.369 0.100 10.596   8.7814   0.0362  -1.1316   0.120   0.880   3.022      2
153.4590  0.0227   0.092 -19.790  20.571  1.914   2.615   2.922   10.711  -1.049 -11.804   1.944 0.104 10.837  10.3448   0.0233  -5.1989   0.210   0.510   4.228     -1
153.6592  0.3063   0.094 -20.539  21.305  3.777   1.958   1.840   10.661   0.623 -10.085   1.332 0.038 11.130   7.9421   0.0195  -3.2533   0.900   0.040   2.977      2
153.8750  0.5104   0.070 -20.170  20.895  2.756   2.309   2.654   10.753  -0.815 -11.621   1.834 0.054  1.996  99.0000  99.0000  99.0000   0.390   0.570   4.449      5
153.8234  0.6060   0.070 -20.162  20.531  2.322   3.161   2.786   10.669  -0.503 -11.220   1.933 0.054 10.890  10.0930   0.0286  -2.1980   0.690   0.270   5.997      2
154.2579 -0.8595   0.063 -19.674  20.002  1.476   3.026   2.706   10.449  -1.241 -11.745   1.834 0.103 10.482   8.5357   0.0321  -6.6776   0.530   0.370   5.896     -1
154.2101 -0.8788   0.062 -19.513  21.391  2.601   2.469   2.809   10.419  -0.777 -11.253   1.607 0.126 10.798   9.8596   0.0224  -5.8586   0.060   0.890   4.564      5
153.9802 -0.3436   0.085 -20.928  19.804  2.302   2.883   2.738   10.971  -0.706 -11.728   1.753 0.021 11.343   9.8091   0.0239  -2.9815   0.900   0.100   5.330     -1
153.9346 -0.2528   0.085 -20.515  22.379  6.230   1.994   1.717   10.351   0.442  -9.957   1.362 0.038 10.825  10.4568   0.0085  -2.3046   0.130   0.830   1.855      2
153.9414 -0.4036   0.084 -20.167  20.217  1.963   2.962   2.797   10.783  -0.932 -11.778   1.889 0.058 11.150  10.2967   0.0249  -2.7090   0.250   0.750   5.455      5
153.9375 -0.3717   0.085 -19.828  21.467  2.985   2.807   2.794   10.832   0.214 -10.661   1.620 0.093 11.195  11.1880   0.0142  -5.8739   0.030   0.970   3.713      3
153.8019  0.9614   0.072 -21.747  20.610  4.984   3.108   2.882   11.499  -0.171 -11.726   1.930 0.006 11.589   9.7310   0.0284  -2.4674   0.380   0.620   4.105      4
153.8295  0.9912   0.072 -19.245  21.038  1.918   2.567   1.640    9.813   0.136  -9.736   1.371 0.206 10.416  11.1347   0.0082  -3.3681   0.250   0.490   2.650      1
153.8753  1.0219   0.071 -18.922  22.086  2.681   2.020   1.346    9.424  -0.125  -9.602   1.362 0.342  9.884   7.8656   0.0039  -3.1394   0.110   0.640   1.584      1
154.2126  1.0749   0.078 -20.960  20.511  3.277   2.336   1.972   10.927   1.104  -9.870   1.344 0.020 11.195   7.2927   0.0447  -0.9994   0.010   0.990   2.616      1
154.2344  1.0467   0.078 -19.288  21.101  1.992   2.181   1.488    9.778  -0.044  -9.874   1.243 0.204  9.997   3.7655   0.0088  -0.7353   0.230   0.570   2.223      1
155.5611 -0.0273   0.113 -20.661  21.500  4.227   2.222   1.632   10.404   0.712  -9.744   1.203 0.034 10.942   7.5780   0.0305  -0.7710   0.010   0.990   2.047      1
155.5960  0.3389   0.110 -21.455  21.160  5.236   3.413   2.833   11.169  -0.690 -11.914   1.870 0.012  1.996  11.0549   0.0240  -7.1481   0.940   0.060   5.643     -1
156.7994 -0.0871   0.098 -20.784  20.615  3.058   3.450   2.906   10.952  -0.946 -11.964   1.853 0.027 11.139  11.3433   0.0273  -7.3924   0.200   0.800   5.756     -1
156.8163  0.0129   0.099 -19.995  21.306  2.918   2.579   1.685   10.108   0.189  -9.968   1.221 0.082 10.485   3.8647   0.0226  -0.3514   0.410   0.360   2.642      1
155.7753 -0.2009   0.093 -21.026  19.693  2.256   3.174   2.992   11.116  -1.029 -12.170   2.007 0.019 11.237  11.1685   0.0259  -3.1752   0.910   0.060   5.717      5
155.9169 -0.2249   0.094 -20.526  19.916  1.981   3.026   2.802   10.832  -0.926 -11.822   1.909 0.038 10.937   8.4703   0.0223  -5.9418   0.970   0.000   6.410     -1
155.9569 -0.2538   0.094 -20.185  20.619  2.340   2.850   2.538   10.674  -0.518 -11.251   1.641 0.061 10.989   7.2056   0.0500  -6.9410   0.560   0.360   5.143      5
155.7884 -0.2895   0.096 -20.204  21.217  3.098   2.315   1.908   10.584   0.415 -10.220   1.366 0.061 10.873   9.0363   0.0127  -5.3349   0.110   0.860   2.787      2
156.5981  0.5272   0.098 -20.650  20.914  3.298   2.446   2.940   10.933  -0.944 -11.943   1.868 0.033 11.125  11.4589   0.0197 -99.0000   0.530   0.380   5.705     -1
156.5564  0.4676   0.097 -19.995  20.615  2.129   2.700   2.615   10.707  -0.721 -11.467   1.806 0.081 10.617   1.4666   0.0487   0.0000   0.390   0.470   4.410      4
158.8709 -0.3998   0.085 -21.356  20.017  3.095   3.322   2.772   11.218  -0.527 -11.800   1.894 0.011 11.531  11.3205   0.0247  -9.4956   0.780   0.200   5.287      3
158.9181 -0.4146   0.084 -19.294  21.008  1.894   1.875   1.244    9.742   0.195  -9.608   1.184 0.210  9.928   7.1095   0.0083  -4.2375   0.240   0.460   1.783      1
157.3261  0.9740   0.089 -20.586  20.526  2.720   2.978   2.816   10.920  -0.930 -11.898   1.898 0.034 11.222   9.9036   0.0401  -6.3825   0.700   0.170   5.174     -1
157.4600  0.9874   0.089 -20.278  20.752  2.622   2.104   1.962   10.430   0.395 -10.083   1.299 0.053 10.605   1.9561   0.0485  -0.1209   0.120   0.820   2.878      2
160.9913 -0.5075   0.060 -20.397  19.482  1.629   3.072   2.801   10.780  -1.159 -11.990   1.991 0.037 10.986  11.0947   0.0279  -3.1946   0.810   0.190   5.923     -1
160.8132  0.0232   0.126 -21.252  20.782  3.892   2.344   2.386   11.155   0.763 -10.459   1.578 0.017 11.568   9.3103   0.0262  -1.7122   0.450   0.550   3.201      3
160.8149  0.0021   0.126 -21.081  21.380  4.738   2.142   2.415   10.897   0.047 -10.919   0.000 0.021 11.285   7.6301   0.0319  -0.9230   0.080   0.880   3.355      5
159.8889 -0.8336   0.095 -20.373  21.302  3.491   2.336   1.943   10.557   0.378 -10.225   1.375 0.048 10.955   6.7873   0.0262  -2.9871   0.220   0.580   3.072      1
160.5608 -0.3310   0.114 -21.249  20.236  3.088   2.778   2.583   11.079  -0.315 -11.452   1.808 0.016 11.278  10.6063   0.0250  -2.3895   0.800   0.200   3.573      5
160.1704 -0.3178   0.134 -21.624  20.841  4.679   3.214   3.042   11.372  -0.835 -12.260   1.988 0.011 11.644  11.1262   0.0291  -4.6408   0.680   0.000   6.558     -1
160.1506 -0.2210   0.133 -21.413  20.441  3.540   2.533   2.824   11.190  -0.660 -11.897   1.889 0.014 11.512  11.2690   0.0248  -3.7334   0.650   0.300   6.158     -1
159.4075 -0.7711   0.097 -20.239  21.887  4.281   2.292   2.578   10.897   1.143  -9.810   1.421 0.058 11.182   3.3415   0.0320  -0.4131   0.040   0.960   4.571      3
159.4470 -0.6567   0.096 -19.945  20.433  1.915   2.925   2.583   10.576  -0.890 -11.503   1.870 0.086 10.747  10.8935   0.0267  -2.5975   0.520   0.320   4.875     -1
159.5511  1.0409   0.059 -19.590  20.975  2.237   2.455   1.592   10.041   0.273  -9.825   1.245 0.125 10.610   7.4449   0.0303  -0.7946   0.040   0.920   2.205      1
159.4991  0.9176   0.059 -18.673  20.856  1.388   2.410   2.371   10.082  -0.009 -10.143   1.352 0.397 10.526   7.2820   0.0246  -2.7881   0.390   0.560   4.141      3
160.8139  0.8584   0.124 -20.328  20.719  2.480   2.726   2.597   10.739  -0.985 -11.776   2.097 0.062 10.852   8.2118   0.0200 -99.0000   0.720   0.200   4.944     -1
160.8884  0.3721   0.082 -21.414  20.542  4.064   2.816   2.705   11.237  -0.440 -11.727   1.817 0.011 11.697  10.6910   0.0235  -2.4916   0.810   0.190   3.898      5
160.9014  0.3637   0.082 -20.814  20.714  3.337   2.583   2.763   11.003  -0.752 -11.797   1.844 0.024 11.391  10.4909   0.0235  -8.0176   0.810   0.190   4.728      5
160.9536  0.3424   0.081 -20.378  21.873  4.664   1.798   1.858   10.399   0.274 -10.169   1.447 0.045 10.903   7.2641   0.0288  -0.6862   0.020   0.960   2.784      2
160.9254  0.4687   0.083 -19.411  21.643  2.681   2.394   1.304    9.504   0.100  -9.464   1.167 0.181 10.070   8.3311   0.0158  -2.3139   0.100   0.750   1.886      1
160.8480  0.3542   0.082 -19.388  21.981  3.105   2.500   1.833    9.987  -0.055 -10.095   1.335 0.181 10.273   4.5569   0.0200  -0.2804   0.030   0.970   2.236      1
160.9224  1.3058   0.097 -21.254  20.245  3.207   3.117   2.814   11.125  -0.825 -11.980   1.964 0.014 11.315  11.0742   0.0246  -2.9373   0.790   0.210   6.458     -1
160.9115  1.2792   0.099 -20.214  20.832  2.593   2.768   2.561   10.730  -0.103 -10.878   1.754 0.060 10.993   9.9356   0.0279  -1.8655   0.250   0.630   4.420      2
160.9493  1.3134   0.097 -20.028  22.152  4.383   2.173   1.758   10.239   0.244 -10.052   1.294 0.078 10.724   9.3718   0.0136  -2.0881   0.000   1.000   2.646      3
161.3219  0.6472   0.072 -20.766  20.110  2.519   3.298   2.713   10.929  -0.752 -11.733   1.897 0.024 11.187  11.1075   0.0285  -7.7029   0.930   0.070   5.388     -1
161.2464  0.5776   0.072 -20.579  20.621  2.923   3.079   2.823   10.839  -0.983 -11.859   1.914 0.031 11.076  11.1526   0.0272  -7.4188   0.870   0.090   5.158      3
161.2628  0.5378   0.073 -20.051  21.827  3.991   2.135   1.430   10.192   0.289  -9.959   1.333 0.071 10.700   6.2255   0.0234  -4.5206   0.080   0.100   1.908      1
161.7784  0.9900   0.106 -20.732  21.470  4.359   2.499   2.386   10.897   0.411 -10.541   1.559 0.031 11.341   9.9494   0.0335  -1.6806   0.050   0.950   2.958      2
161.7539  0.9276   0.105 -20.661  21.075  3.523   2.168   1.634   10.549   0.828  -9.768   1.199 0.034 10.986   5.6837   0.0211  -0.3772   0.160   0.680   2.414      1
161.7164  0.9027   0.105 -20.204  21.366  3.268   2.348   1.854   10.453   0.378 -10.121   1.312 0.064 10.932   9.3418   0.0167  -1.3855   0.130   0.670   2.273      2
162.5282  0.5248   0.091 -21.102  20.863  4.015   2.079   1.511   10.686   0.862  -9.872   1.237 0.017  1.996  99.0000  99.0000  99.0000   0.290   0.510   2.334      1
162.4168  0.4375   0.091 -21.062  21.280  4.781   3.156   2.744   11.223   0.222 -11.072   1.708 0.018 11.624  10.8058   0.0260  -2.5238   0.050   0.920   3.376      3
162.5909  0.5111   0.091 -20.815  21.218  4.148   2.061   1.524   10.373   0.733  -9.701   1.245 0.026  1.996  99.0000  99.0000  99.0000   0.170   0.810   2.234      1
162.4403  0.4407   0.092 -19.983  21.444  3.132   2.852   2.838   10.667  -0.526 -11.254   1.798 0.080  1.996  99.0000  99.0000  99.0000   0.510   0.490   5.075      2
162.3607  0.9360   0.105 -20.600  20.469  2.591   3.204   2.681   10.821  -0.576 -11.436   1.811 0.037 11.056  10.9434   0.0291  -3.5051   0.350   0.650   5.563     -1
162.4226  1.0305   0.105 -20.419  21.044  3.107   2.202   2.386   10.624   0.003 -10.666   1.526 0.048 11.195  11.1763   0.0233  -3.4406   0.440   0.390   4.138      2
163.2250 -0.6828   0.075 -21.326  20.908  4.682   2.130   2.048   10.930   1.293  -9.682   1.262 0.012 11.501   9.0399   0.0283  -2.0041   0.000   0.910   2.456      1
163.1283 -0.6668   0.075 -20.955  20.970  4.056   2.114   2.398   11.019   0.236 -10.845   1.790 0.019 11.499  10.9424   0.0235  -2.6945   0.060   0.940   2.719      5
